r,α,δ,ε,θ,λc
1,0.9744,31.8542,0.2233,22.0712,4529.6006
2,0.9772,34.7871,2.6414,-7.8016,4566.0834
3,0.9693,19.6457,-0.4452,28.1363,4603.1785
4,0.9636,8.1084,1.3826,26.4734,4640.8427
5,0.9675,15.2753,-0.381,30.7376,4679.108
6,0.9702,15.4747,6.8257,3.1872,4717.977
7,0.9669,10.0953,15.2521,-0.3341,4757.5525
8,0.969,12.1817,12.6927,-2.5095,4797.8334
9,1.0002,0.645,193.2376,0.243,4838.6301
10,0.9952,1.3971,172.7625,-0.1189,4880.3752
11,0.9656,-10.268,12.9912,43.9492,4922.8084
12,0.9628,-15.5139,17.6782,50.5947,4965.9237
13,0.9721,-0.3768,41.5894,9.7375,5009.7072
14,0.9649,-11.4341,14.707,42.6177,5054.4594
15,0.9676,-4.8874,13.1666,31.309,5099.8957
16,0.9721,15.1364,-2.3177,46.4133,5146.0751
17,1,1.0249,192.4139,0.0118,5193.2889
18,0.9667,-7.8139,20.1979,34.3911,5241.2708
19,0.9772,9.1739,32.3967,-1.887,5290.009
20,0.969,-1.4989,27.3738,16.6968,5339.9741
21,0.9764,8.2865,35.1419,-2.5254,5390.6562
22,0.9907,2.9971,93.8698,-0.0709,5442.3768
23,0.983,13.0205,41.9274,-8.0944,5495.1052
24,1.0052,5.7375,96.3214,-1.4865,5548.8518
25,1.0051,5.0483,100.883,-1.1423,5603.7656
26,0.9996,3.6148,103.282,-0.5212,5659.7418
27,1.0124,3.5675,136.6234,-0.6938,5716.7979
28,1.003,2.4612,132.9568,-0.1996,5775.1627
29,0.9921,1.5726,123.466,0.092,5834.7914
30,1.0155,7.7453,115.8177,-3.1278,5895.3157
31,0.9853,5.4476,67.7692,-1.9422,5957.4272
32,1.014,12.9135,86.9749,-7.0687,6020.6716
33,1.0007,15.7403,61.5176,-10.7201,6085.3542
34,1.0166,0.8809,211.123,0.0551,6151.4854
35,1.012,9.9433,85.8678,-5.1289,6219.042
36,1.0823,12.6527,159.6537,-5.1866,6295.1214
37,1.011,17.1439,61.4202,-12.1204,6365.6734
38,1.0344,11.4013,99.944,-5.7352,6437.988
39,1.1229,5.7174,211.4319,-1.3078,6511.9358
40,1.0335,2.614,125.368,0,6579.654
41,1.0231,6.758,92.855,0,6657.219
42,1.0283,8.518,85.559,0,6736.15
43,1.0298,6.482,96.07,0,6817.007
44,0.9649,-11.701,-4.567,0,6900.416
45,1.056,10.084,100.813,0,6984.929
46,1.0571,7.864,112.785,0,7071.949
47,1.0571,12.237,44.009,0,7159.829
48,1.0403,55.216,2.127,0,7253.666
49,1.1455,4.785,191.409,0,7346.662
50,1.0223,1.156,84.112,0,7443.619
51,0.9711,-24.878,-14.197,0,7542.258
52,0.9978,-1.875,200.838,0,7644.782
53,1.0543,2.381,110.749,0,7747.756
54,1.0102,1.079,106.261,0,7855.163
55,1.0789,41.474,-3.712,0,7965.838
56,1.1347,2.218,235.336,0,8078.438
57,0.9861,-0.477,223.183,0,8194.769
58,1.1324,-0.958,246.662,0,8315.33
59,1.0607,1.198,276.948,0,8437.406
60,0.9429,-56.919,-26.758,0,8564.68
61,1.2594,6.475,115.274,0,8692.019
62,1.0048,0,137,0,8830.94
